report_date,active_users,purchase_user_count,redeem_user_count,purchase_times,redeem_times,purchase_redeem_overlap_users,avg_purchase_per_user,avg_redeem_per_user
20130701,441,308,43,308,43,34,105481.64935064936,128488.88372093023
20130702,480,328,34,328,34,29,88528.62804878049,75133.76470588235
20130703,499,372,32,372,32,29,73308.52150537634,186058.34375
20130704,523,399,48,399,48,46,45917.75689223058,133556.85416666666
20130705,544,417,39,417,39,35,27934.649880095923,70861.20512820513
20130706,553,423,30,423,30,28,86882.43971631206,53887.833333333336
20130707,566,422,43,422,43,39,21237.516587677725,92621.74418604652
20130708,580,421,54,421,54,48,136005.38242280285,154587.57407407407
20130709,614,456,56,456,56,50,58769.60745614035,62018.91071428572
20130710,619,489,50,489,50,44,62774.0408997955,51943.38
20130711,658,515,54,515,54,49,85582.9067961165,64977.77777777778
20130712,677,518,64,518,64,59,65992.09266409266,132696.453125
20130713,694,538,46,538,46,44,28187.206319702604,75713.67391304347
20130714,697,529,47,529,47,43,42751.045368620034,59236.31914893617
20130715,714,532,74,532,74,67,90467.20864661653,177134.36486486485
20130716,739,552,59,552,59,58,91708.05615942029,201101.37288135593
20130717,765,589,62,589,62,55,49262.617996604415,175992.14516129033
20130718,772,603,65,603,65,63,40189.892205638476,181005.47692307693
20130719,788,624,81,624,81,73,53974.557692307695,114132.95061728395
20130720,810,633,62,633,62,60,32289.224328594,74211.98387096774
20130721,817,625,63,625,63,58,33827.8304,42560.80952380953
20130722,840,638,73,638,73,67,63399.52351097178,262250.23287671234
20130723,869,645,72,645,72,66,90133.56124031008,338945.15277777775
20130724,885,689,88,689,88,82,70279.41654571843,412029.45454545453
20130725,906,703,98,703,98,87,81697.60739687056,389926.89795918367
20130726,925,708,80,708,80,75,63166.4081920904,489904.6125
20130727,918,707,76,707,76,68,24320.298444130127,198143.32894736843
20130728,936,716,72,716,72,61,50636.00837988827,106711.26388888889
20130729,952,716,80,716,80,75,74737.53631284916,232492.05
20130730,970,726,79,726,79,72,65401.16115702479,165171.92405063292
20130731,977,764,92,764,92,88,71426.22643979058,103630.86956521739
20130801,990,766,86,766,86,83,69673.57963446475,219354.27906976745
20130802,1011,782,103,782,103,99,48675.877237851666,389813.2912621359
20130803,1011,778,78,778,78,75,27758.083547557842,265407.6538461539
20130804,1027,774,77,774,77,70,59102.395348837206,107324.22077922078
20130805,1045,777,98,777,98,91,56154.70141570141,161199.05102040817
20130806,1061,791,102,791,102,89,64306.174462705436,160797.91176470587
20130807,1084,831,102,831,102,92,52837.64259927798,291261.82352941175
20130808,1095,831,96,831,96,85,53542.10589651023,307830.1145833333
20130809,1102,839,102,839,102,96,39839.31585220501,295402.10784313723
20130810,1104,836,65,836,65,59,24659.458133971293,409452.43076923076
20130811,1117,844,83,844,83,75,65781.4490521327,185213.01204819276
20130812,1135,848,84,848,84,79,111462.85613207547,340317.4880952381
20130813,1158,866,95,866,95,87,56259.72170900693,303056.0842105263
20130814,1167,892,107,892,107,94,34238.976457399105,140483.01869158878
20130815,1174,900,102,900,102,99,47134.69111111111,516267.9117647059
20130816,1180,914,105,914,105,96,45605.619256017504,321331.8476190476
20130817,1183,919,78,919,78,70,19227.985854189337,59935.679487179485
20130818,1203,919,89,919,89,83,64965.27965179543,170992.1348314607
20130819,1202,911,100,911,100,96,119850.94291986828,283392.6
20130820,1226,923,106,923,106,99,58153.3141928494,284256.8396226415
20130821,1224,950,94,950,94,87,40194.15368421053,318971.72340425535
20130822,1251,976,105,976,105,102,91322.47643442624,238101.6380952381
20130823,1266,971,121,971,121,117,39009.86096807415,212234.0743801653
20130824,1261,974,96,974,96,91,45551.60985626283,149131.22916666666
20130825,1276,975,84,975,84,80,44416.70564102564,215688.19047619047
20130826,1294,976,125,976,125,115,76328.4231557377,165103.888
20130827,1310,991,113,991,113,102,45679.14026236125,532191.4424778761
20130828,1321,1020,123,1020,123,118,45688.54803921569,273958.2195121951
20130829,1338,1039,111,1039,111,107,45735.000962463906,323828.54054054053
20130830,1347,1052,116,1052,116,107,53696.619771863116,177851.3103448276
20130831,1366,1050,101,1050,101,95,45386.002857142856,217940.75247524751
20130901,1381,1053,127,1053,127,120,53409.11870845204,467243.6929133858
20130902,1410,1062,131,1062,131,120,132622.1647834275,135767.35877862596
20130903,1412,1065,108,1065,108,101,75594.25352112677,364149.48148148146
20130904,1419,1101,131,1101,131,124,30305.820163487737,209561.8320610687
20130905,1429,1108,122,1108,122,120,34942.6940433213,178695.9344262295
20130906,1440,1120,104,1120,104,95,34752.84464285714,321325.9903846154
20130907,1445,1121,107,1121,107,100,30398.022301516503,190134.80373831774
20130908,1456,1112,105,1112,105,96,34889.30665467626,142086.87619047618
20130909,1478,1128,160,1128,160,155,43716.73138297872,285132.4125
20130910,1484,1134,137,1134,137,129,83495.71693121693,271009.9489051095
20130911,1505,1156,143,1156,143,137,85592.09256055363,501217.3566433566
20130912,1513,1155,144,1155,144,136,59371.15497835498,313522.3611111111
20130913,1514,1180,140,1180,140,135,60725.377966101696,432233.39285714284
20130914,1516,1166,107,1166,107,101,26565.560034305316,339370.6542056075
20130915,1534,1167,129,1167,129,127,31756.369323050556,193959.03100775194
20130916,1559,1170,128,1170,128,116,138167.70085470084,353004.6015625
20130917,1569,1158,129,1158,129,117,65807.26683937824,451634.0930232558
20130918,1569,1204,143,1204,143,140,35653.32890365449,330092.45454545453
20130919,1567,1190,108,1190,108,97,20821.889075630254,105726.96296296296
20130920,1584,1206,102,1206,102,97,23520.532338308458,148904.45098039217
20130921,1587,1206,123,1206,123,119,26870.928689883913,216229.0975609756
20130922,1592,1209,163,1209,163,153,55842.98511166253,294245.736196319
20130923,1616,1210,154,1210,154,142,45172.03305785124,378479.7337662338
20130924,1637,1207,150,1207,150,139,61516.86743993372,377871.94666666666
20130925,1639,1228,159,1228,159,147,38496.87947882736,470680.2641509434
20130926,1646,1243,167,1243,167,156,55284.54786806114,290224.7245508982
20130927,1660,1229,138,1229,138,129,34309.29292107404,200286.97826086957
20130928,1668,1243,148,1243,148,138,32176.828640386164,392606.2162162162
20130929,1680,1243,148,1243,148,141,27702.21078037007,272264.8783783784
20130930,1685,1227,141,1227,141,128,23144.29502852486,214052.1489361702
20131001,1696,1230,115,1230,115,105,15558.942276422764,111419.71304347826
20131002,1698,1249,107,1249,107,100,9257.572457966373,67606.29906542056
20131003,1704,1259,98,1259,98,93,8023.188244638602,63502.683673469386
20131004,1715,1268,99,1268,99,91,15700.070189274447,236488.38383838383
20131005,1718,1266,97,1266,97,87,20825.186413902054,143984.05154639174
20131006,1744,1276,111,1276,111,100,30353.1763322884,121302.05405405405
20131007,1744,1273,124,1273,124,117,33619.58601728201,233019.35483870967
20131008,1765,1291,167,1291,167,154,85055.70255615802,466204.1676646707
20131009,1780,1315,161,1315,161,146,55073.99163498099,211176.24844720497
20131010,1795,1337,164,1337,164,156,53922.67240089753,318564.21341463417
20131011,1823,1342,143,1342,143,134,61605.63114754098,193471.83916083915
20131012,1846,1359,155,1359,155,140,60265.73657100809,202083.76129032258
20131013,1880,1358,132,1358,132,124,52393.21134020619,241291.47727272726
20131014,1910,1370,190,1370,190,176,95120.65693430656,213961.18421052632
20131015,1966,1397,177,1397,177,162,61348.821760916246,198300.5536723164
20131016,2002,1454,161,1454,161,155,69427.84800550206,318397.4037267081
20131017,2105,1513,166,1513,166,149,57635.96629213483,140209.421686747
20131018,2129,1535,165,1535,165,147,63942.31270358306,96596.09090909091
20131019,2170,1568,154,1568,154,143,33895.69068877551,173277.25324675324
20131020,2231,1560,161,1560,161,151,30619.667307692307,316051.8136645963
20131021,2270,1562,176,1562,176,162,67881.10755441741,260121.60795454544
20131022,2319,1592,177,1592,177,157,91464.50753768845,543347.6666666666
20131023,2333,1674,196,1674,196,184,63377.00836320191,376471.7448979592
20131024,2366,1719,203,1719,203,192,40448.417684700406,286620.30049261084
20131025,2366,1726,191,1726,191,182,40519.38180764774,273433.51832460734
20131026,2379,1723,173,1723,173,161,32357.809634358677,285301.79768786125
20131027,2396,1720,171,1720,171,159,39539.26918604651,272050.1169590643
20131028,2426,1717,197,1717,197,181,75709.59522422831,279641.9492385787
20131029,2470,1739,201,1739,201,190,58683.234042553195,214191.3830845771
20131030,2524,1822,215,1822,215,201,60188.39736553238,297249.77209302323
20131031,2558,1846,221,1846,221,206,49256.06771397617,251619.15384615384
20131101,2627,1871,239,1871,239,217,80654.7006948156,280054.8912133891
20131102,2656,1878,190,1878,190,174,33084.29179978701,140555.2947368421
20131103,2663,1890,193,1890,193,184,36353.37037037037,160081.6269430052
20131104,2734,1896,236,1896,236,218,158242.30116033755,554957.843220339
20131105,2950,2090,383,2090,383,364,86557.32727272727,215900.42819843342
20131106,3061,2177,379,2177,379,359,83360.08727606798,347514.036939314
20131107,3183,2295,419,2295,419,394,73186.6945533769,198822.08114558473
20131108,3280,2364,380,2364,380,348,98032.77115059222,244358.70263157896
20131109,3367,2439,343,2439,343,321,51852.0,133777.7580174927
20131110,3673,2610,493,2610,493,457,63146.92375478927,173009.41987829615
20131111,3556,2441,1312,2441,1312,1054,60625.33346988939,173113.52972560975
20131112,3484,2378,370,2378,370,340,62434.670731707316,354766.2810810811
20131113,3527,2439,318,2439,318,289,71568.25584255843,248809.55974842768
20131114,3528,2445,319,2445,319,292,68710.04417177914,164746.55172413794
20131115,3562,2508,313,2508,313,293,49549.72248803828,185975.25239616612
20131116,3604,2480,247,2480,247,228,47615.20362903226,117393.81376518219
20131117,3630,2474,261,2474,261,238,45184.568310428454,162291.7816091954
20131118,3685,2479,354,2479,354,322,78969.93828156515,386770.57062146894
20131119,3725,2495,342,2495,342,319,52651.47054108216,205579.634502924
20131120,3766,2585,324,2585,324,297,64279.69129593811,268367.9567901235
20131121,3773,2596,345,2596,345,326,85195.27657935285,216620.17971014493
20131122,3801,2615,352,2615,352,325,49150.54952198853,234994.09375
20131123,3885,2670,304,2670,304,290,33374.16404494382,160796.48355263157
20131124,3910,2639,299,2639,299,273,38800.678666161424,286140.2909698997
20131125,3964,2669,358,2669,358,332,55130.611464968155,195846.72346368714
20131126,4001,2655,372,2655,372,343,97189.34161958568,176889.73924731184
20131127,4033,2772,358,2772,358,343,48619.81529581529,240585.18994413406
20131128,4049,2778,322,2778,322,297,50309.72822174226,190849.66149068324
20131129,4092,2824,312,2824,312,292,43391.056657223795,397378.7371794872
20131130,4139,2844,314,2844,314,297,41091.945147679326,381083.7929936306
20131201,4186,2847,369,2847,369,337,48433.4358974359,256455.9159891599
20131202,4240,2838,388,2838,388,361,121674.86187455954,331095.58247422683
20131203,4266,2853,403,2853,403,366,94169.9460217315,252263.13895781638
20131204,4292,2947,390,2947,390,364,74467.72039362064,179439.30512820513
20131205,4334,3004,388,3004,388,373,63523.73069241012,304785.61597938143
20131206,4341,2973,360,2973,360,337,51193.12445341406,229515.475
20131207,4362,3028,328,3028,328,309,45866.1178996037,219256.24085365853
20131208,4391,3008,303,3008,303,281,41518.25232712766,251862.3498349835
20131209,4428,3019,413,3019,413,387,57851.21298443193,322894.18644067796
20131210,4473,3048,361,3048,361,341,58881.7624671916,407610.3628808864
20131211,4518,3132,395,3132,395,377,76601.84450830141,279277.4481012658
20131212,4563,3210,788,3210,788,735,43725.858878504674,116865.8312182741
20131213,4577,3163,370,3163,370,350,52062.18463484034,245346.52432432433
20131214,4599,3173,322,3173,322,305,40669.901040025215,162219.41304347827
20131215,4648,3187,381,3187,381,360,64600.68622529024,143719.54330708663
20131216,4675,3186,457,3186,457,433,61672.92247332078,341700.932166302
